"Date","Price","Open","High","Low","Vol.","Change %"
"03-04-2022","10,896.55","10,693.35","11,001.50","10,689.60","304.40B","2.69%"
"27-03-2022","10,611.25","10,355.45","10,619.65","10,173.65","296.78B","2.98%"
"20-03-2022","10,304.45","10,351.35","10,436.40","10,233.50","220.23B","0.25%"
"13-03-2022","10,279.05","10,197.70","10,303.80","9,995.35","209.66B","1.19%"
"06-03-2022","10,158.40","9,544.10","10,198.65","9,436.15","236.75B","4.17%"
"27-02-2022","9,751.95","9,692.35","10,091.05","9,550.30","139.01B","-0.35%"
"20-02-2022","9,786.65","10,253.00","10,268.30","9,286.40","180.65B","-5.27%"
"13-02-2022","10,331.05","10,412.20","10,656.85","10,088.15","148.24B","-3.39%"
"06-02-2022","10,693.30","11,235.45","11,244.35","10,672.55","183.56B","-4.50%"
"30-01-2022","11,197.40","11,153.35","11,388.65","11,027.00","194.05B","1.87%"
"23-01-2022","10,991.90","11,388.10","11,403.05","10,541.10","172.35B","-3.72%"
"16-01-2022","11,416.95","11,966.10","12,047.45","11,342.70","278.96B","-4.14%"
"09-01-2022","11,909.50","11,573.85","11,926.50","11,561.80","219.67B","3.62%"
"02-01-2022","11,492.90","11,336.75","11,589.10","11,296.15","187.20B","1.81%"
"26-12-2021","11,289.00","10,834.20","11,309.70","10,705.10","144.22B","4.05%"
"19-12-2021","10,849.40","10,699.25","10,974.55","10,306.20","134.42B","0.00%"
"12-12-2021","10,849.55","11,331.10","11,382.45","10,831.55","180.39B","-3.57%"
"05-12-2021","11,251.20","10,854.80","11,275.65","10,685.70","190.19B","3.92%"
"28-11-2021","10,827.00","10,645.90","10,911.85","10,249.30","204.51B","0.52%"
"21-11-2021","10,771.15","11,068.50","11,119.20","10,605.60","193.89B","-2.41%"
"14-11-2021","11,036.90","11,236.25","11,304.20","10,990.95","180.24B","-1.26%"
"07-11-2021","11,177.70","11,097.85","11,312.50","10,981.85","167.30B","1.25%"
"31-10-2021","11,039.65","10,819.85","11,050.15","10,780.15","103.80B","2.53%"
"24-10-2021","10,766.85","11,029.30","11,077.75","10,574.80","160.46B","-1.88%"
"17-10-2021","10,973.40","11,702.00","11,876.50","10,896.90","208.31B","-5.37%"
"10-10-2021","11,595.90","11,396.25","11,644.20","11,372.95","183.39B","2.57%"
"03-10-2021","11,305.70","10,991.55","11,321.55","10,982.05","217.32B","3.68%"
"26-09-2021","10,904.45","10,928.45","10,943.75","10,672.90","211.45B","0.63%"
"19-09-2021","10,836.55","10,717.55","10,919.60","10,415.55","198.12B","0.45%"
"12-09-2021","10,788.25","10,729.55","10,941.85","10,677.85","164.81B","0.94%"
"05-09-2021","10,687.75","10,502.15","10,700.35","10,476.30","133.93B","2.31%"
"29-08-2021","10,446.50","10,099.80","10,480.00","10,093.40","147.70B","4.05%"
"22-08-2021","10,039.70","9,920.20","10,050.55","9,569.70","135.85B","1.92%"
"15-08-2021","9,850.90","10,200.40","10,207.55","9,824.85","99.87B","-3.42%"
"08-08-2021","10,200.15","10,456.55","10,464.35","9,780.35","151.28B","-2.20%"
"01-08-2021","10,429.65","10,609.40","10,673.55","10,327.10","203.71B","-0.88%"
"25-07-2021","10,522.10","10,416.10","10,564.55","10,232.05","192.87B","1.11%"
"18-07-2021","10,406.95","10,382.50","10,529.10","10,193.70","188.01B","-0.38%"
"11-07-2021","10,447.05","10,135.85","10,462.15","10,058.00","264.32B","4.20%"
"04-07-2021","10,026.35","9,976.60","10,064.85","9,887.90","221.34B","1.24%"
"27-06-2021","9,903.10","9,734.90","9,918.75","9,699.20","178.14B","2.19%"
"20-06-2021","9,691.10","9,447.70","9,762.40","9,411.90","163.14B","1.23%"
"13-06-2021","9,573.75","9,789.05","9,824.05","9,291.35","228.60B","-1.81%"
"06-06-2021","9,750.05","9,544.85","9,789.95","9,500.80","228.23B","2.90%"
"30-05-2021","9,475.10","9,303.75","9,525.35","9,192.20","179.53B","2.39%"
"23-05-2021","9,254.15","9,139.60","9,389.30","9,117.85","216.62B","1.83%"
"16-05-2021","9,087.80","8,820.95","9,133.10","8,781.75","194.52B","3.75%"
"09-05-2021","8,759.05","8,824.50","9,030.60","8,732.75","186.34B","0.25%"
"02-05-2021","8,737.20","8,527.80","8,772.55","8,513.15","191.66B","2.01%"
