"Date","Price","Open","High","Low","Vol.","Change %"
"24-11-2019","12,182.60","12,039.95","12,286.60","12,037.30","8.59B","1.26%"
"17-11-2019","12,031.20","12,043.90","12,156.35","11,995.20","8.66B","0.07%"
"10-11-2019","12,022.80","12,015.90","12,099.00","11,935.85","5.14B","-0.18%"
"03-11-2019","12,044.85","12,084.15","12,173.95","11,991.05","5.70B","-0.02%"
"27-10-2019","12,047.80","11,796.40","12,099.10","11,779.75","6.93B","2.67%"
"20-10-2019","11,734.35","11,806.05","11,863.55","11,641.95","5.48B","-0.61%"
"13-10-2019","11,806.20","11,444.60","11,828.15","11,403.90","5.50B","3.45%"
"06-10-2019","11,412.95","11,320.55","11,468.95","11,200.95","4.68B","0.97%"
"29-09-2019","11,303.40","11,643.55","11,694.60","11,287.50","5.96B","-3.09%"
"22-09-2019","11,663.50","11,692.05","11,837.65","11,558.75","5.41B","2.03%"
"15-09-2019","11,432.00","11,123.90","11,524.00","10,812.70","5.47B","2.02%"
"08-09-2019","11,205.10","11,059.35","11,213.65","11,015.30","3.45B","1.24%"
"01-09-2019","11,068.15","11,092.10","11,098.10","10,861.95","3.10B","-0.78%"
"25-08-2019","11,155.10","11,098.75","11,249.35","10,852.45","5.22B","2.10%"
"18-08-2019","10,925.90","11,200.25","11,251.45","10,730.90","4.47B","-2.05%"
"11-08-2019","11,154.55","11,248.00","11,253.20","11,004.90","2.80B","-0.60%"
"04-08-2019","11,222.20","11,001.60","11,296.60","10,887.45","4.25B","1.10%"
"28-07-2019","11,100.45","11,413.85","11,416.35","10,944.40","4.99B","-2.58%"
"21-07-2019","11,394.70","11,493.80","11,498.95","11,312.75","3.66B","-1.08%"
"14-07-2019","11,519.25","11,712.65","11,819.45","11,498.95","3.22B","-1.16%"
"07-07-2019","11,654.85","11,858.70","11,860.05","11,553.45","2.83B","-2.09%"
"30-06-2019","11,904.05","11,932.85","12,081.70","11,888.60","2.89B","0.18%"
"23-06-2019","11,882.10","11,807.05","11,992.60","11,732.65","2.84B","0.67%"
"16-06-2019","11,802.45","11,916.40","11,916.45","11,686.95","3.09B","-0.81%"
"09-06-2019","11,899.35","12,019.50","12,085.10","11,874.80","2.65B","-0.48%"
"02-06-2019","11,957.05","12,061.15","12,204.05","11,854.25","2.25B","-0.59%"
"26-05-2019","12,028.25","11,950.55","12,136.65","11,908.75","3.96B","0.70%"
"19-05-2019","11,944.65","11,734.55","12,115.90","11,672.10","3.88B","3.99%"
"12-05-2019","11,485.85","11,371.20","11,502.35","11,201.20","3.64B","0.83%"
"05-05-2019","11,391.85","11,723.70","11,767.85","11,364.80","3.15B","-3.69%"
"28-04-2019","11,828.05","11,879.75","11,915.20","11,782.65","1.91B","-0.49%"
"21-04-2019","11,886.70","11,885.05","11,938.55","11,716.50","2.81B","-0.22%"
