Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
SIP,2014-03-30,6694.35,10000,1.493797007924593,2409.942712884746,30000,7629.454415715841,Nifty,2014
SIP,2014-04-27,6694.8,10000,1.4936966003465375,2409.780725339069,40000,10039.23514105491,Nifty,2014
SIP,2014-05-25,7229.95,10000,1.3831354297055996,2231.4123887440437,50000,12270.647529798953,Nifty,2014
SIP,2014-06-29,7751.6,10000,1.2900562464523453,2081.2477424015688,60000,14351.895272200522,Nifty,2014
SIP,2014-07-27,7602.6,10000,1.3153394891221424,2122.0371978007524,70000,16473.932470001273,Nifty,2014
SIP,2014-08-31,8086.85,10000,1.23657542800967,1994.9671380080003,80000,18468.899608009277,Nifty,2014
SIP,2014-09-28,7945.55,10000,1.258566115624469,2030.4447143369557,90000,20499.34432234623,Nifty,2014
SIP,2014-10-26,8322.2,10000,1.2016053447405732,1938.5499026699667,100000,22437.894225016196,Nifty,2014
SIP,2014-11-30,8538.3,10000,1.1711933288827987,1889.4861974866192,110000,24327.380422502814,Nifty,2014
SIP,2014-12-28,8395.45,10000,1.1911213812243535,1921.6361243292495,120000,26249.016546832067,Nifty,2014
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,60000,12039.678139253243,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,70000,14159.526505644193,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,80000,16279.374872035143,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,90000,18399.223238426093,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,100000,20519.071604817043,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,110000,22638.919971207994,Nifty,2015
DEC_FILL,2015-12-06,7610.45,10000,1.3139827474065267,2119.848366390949,120000,24758.768337598944,Nifty,2015
DIP,2015-03-08,8647.75,10000,1.156370154086323,1865.5719695874648,50000,9919.829772862295,Nifty,2015
DIP,2015-04-19,8305.25,10000,1.204057674362602,1942.5062460491856,40000,8054.257803274829,Nifty,2015
DIP,2015-05-31,8114.7,10000,1.2323314478662182,1988.1203248425697,30000,6111.751557225643,Nifty,2015
DIP,2015-08-23,8001.95,10000,1.2496953867494798,2016.1335674429356,20000,4123.631232383073,Nifty,2015
DIP,2015-08-30,7655.05,10000,1.3063271957727252,2107.4976649401374,10000,2107.4976649401374,Nifty,2015
