Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
SIP,2006-03-26,11279.96,10000,0.8865279664112284,691.793233309338,30000,2229.238835671082,Sensex,2006
SIP,2006-04-30,12359.7,10000,0.8090811265645605,631.3583663033892,40000,2860.5972019744713,Sensex,2006
SIP,2006-05-28,10451.33,10000,0.9568160224583857,746.6418149651768,50000,3607.2390169396485,Sensex,2006
SIP,2006-06-25,10609.25,10000,0.9425736974809718,735.5279590923016,60000,4342.76697603195,Sensex,2006
SIP,2006-07-30,10866.51,10000,0.9202586663059252,718.1146476651658,70000,5060.881623697116,Sensex,2006
SIP,2006-08-27,11778.02,10000,0.849039142402543,662.5392043824004,80000,5723.420828079517,Sensex,2006
SIP,2006-09-24,12454.42,10000,0.8029277959150245,626.5566762643302,90000,6349.977504343848,Sensex,2006
SIP,2006-10-29,13130.79,10000,0.7615688012678596,594.2825983813616,100000,6944.260102725209,Sensex,2006
SIP,2006-11-26,13844.78,10000,0.7222938898270683,563.6348139876545,110000,7507.894916712863,Sensex,2006
SIP,2006-12-31,13860.52,10000,0.7214736532251315,562.9947505576991,120000,8070.889667270563,Sensex,2006
DIP,2006-07-16,10085.91,10000,0.991482176620652,773.6932017041596,10000,773.6932017041596,Sensex,2006
DIP,2006-06-04,9810.46,10000,1.019320194975567,795.416320947234,20000,1569.1095226513937,Sensex,2006
DIP,2006-05-28,10451.33,10000,0.9568160224583857,746.6418149651768,30000,2315.7513376165703,Sensex,2006
DIP,2006-05-14,10938.61,10000,0.9141929367625319,713.3813162732741,40000,3029.1326538898447,Sensex,2006
DIP,2006-04-09,11237.23,10000,0.8898990231578423,694.4238037309907,50000,3723.5564576208353,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,60000,4289.041124083146,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,70000,4854.525790545458,Sensex,2006
