"Date","Price","Open","High","Low","Vol.","Change %"
"05-07-2015","10,870.45","10,792.30","11,060.57","10,726.63","154.36B","0.00%"
"28-06-2015","10,870.00","10,559.50","10,946.14","10,405.34","","1.72%"
"21-06-2015","10,686.11","10,504.95","10,731.58","10,504.08","","1.90%"
"14-06-2015","10,487.12","10,130.79","10,522.10","10,070.98","","3.61%"
"07-06-2015","10,121.94","10,362.70","10,368.75","10,039.44","","-2.24%"
"31-05-2015","10,353.93","10,688.59","10,757.58","10,172.26","","-3.38%"
"24-05-2015","10,716.09","10,632.80","10,745.74","10,526.81","","0.91%"
"17-05-2015","10,619.81","10,585.40","10,738.81","10,569.62","","0.53%"
"10-05-2015","10,563.92","10,272.05","10,613.57","10,261.20","","3.20%"
"03-05-2015","10,236.21","10,474.23","10,630.98","9,983.55","","-1.73%"
"26-04-2015","10,416.29","10,469.64","10,475.53","10,151.85","","-0.19%"
"19-04-2015","10,435.64","10,787.13","10,797.38","10,398.09","64.41M","-3.12%"
"12-04-2015","10,771.77","11,100.59","11,117.38","10,756.17","64.41B","-2.90%"
"05-04-2015","11,093.02","11,093.02","11,093.02","11,093.02","164.97K","3.19%"
"29-03-2015","10,750.42","10,750.42","10,750.42","10,750.42","292.53K","3.77%"
"22-03-2015","10,359.93","10,359.93","10,359.93","10,359.93","417.56K","-2.50%"
"15-03-2015","10,625.28","10,625.28","10,625.28","10,625.28","407.04K","-1.57%"
"08-03-2015","10,794.88","10,794.88","10,794.88","10,794.88","390.25K","-2.27%"
"01-03-2015","11,045.08","11,045.08","11,045.08","11,045.08","548.08K","2.16%"
"22-02-2015","10,811.46","10,811.46","10,811.46","10,811.46","491.13K","-0.23%"
"15-02-2015","10,836.18","10,836.18","10,836.18","10,836.18","470.35K","0.89%"
"08-02-2015","10,740.95","10,740.95","10,740.95","10,740.95","461.90K","2.39%"
"01-02-2015","10,490.68","10,490.68","10,490.68","10,490.68","364.44K","-2.31%"
"25-01-2015","10,738.59","10,738.59","10,738.59","10,738.59","468.11K","0.40%"
"18-01-2015","10,695.67","10,695.67","10,695.67","10,695.67","369.26K","0.59%"
"11-01-2015","10,633.11","10,633.11","10,633.11","10,633.11","362.06K","1.99%"
"04-01-2015","10,426.01","10,426.01","10,426.01","10,426.01","331.09K","-0.99%"
"28-12-2014","10,530.20","10,530.20","10,530.20","10,530.20","211.05K","4.10%"
"21-12-2014","10,115.85","10,115.85","10,115.85","10,115.85","325.68K","1.15%"
"14-12-2014","10,000.41","10,000.41","10,000.41","10,000.41","382.60K","-1.07%"
"07-12-2014","10,108.60","10,108.60","10,108.60","10,108.60","388.54K","-3.71%"
"30-11-2014","10,498.29","10,498.29","10,498.29","10,498.29","347.89K","2.22%"
"23-11-2014","10,270.61","10,270.61","10,270.61","10,270.61","308.48K","0.73%"
"16-11-2014","10,195.79","10,195.79","10,195.79","10,195.79","366.94K","0.40%"
"09-11-2014","10,154.81","10,154.81","10,154.81","10,154.81","273.00K","1.55%"
"02-11-2014","9,999.69","9,999.69","9,999.69","9,999.69","303.53K","1.68%"
"26-10-2014","9,834.60","9,834.60","9,834.60","9,834.60","165.88K","1.67%"
"19-10-2014","9,673.03","9,673.03","9,673.03","9,673.03","243.49K","4.32%"
"12-10-2014","9,272.49","9,272.49","9,272.49","9,272.49","230.64K","-1.82%"
"05-10-2014","9,444.41","9,444.41","9,444.41","9,444.41","233.46K","-0.70%"
"28-09-2014","9,511.40","9,511.40","9,511.40","9,511.40","458.86K","0.96%"
"21-09-2014","9,421.40","9,421.40","9,421.40","9,421.40","352.12K","-4.50%"
"14-09-2014","9,865.26","9,865.26","9,865.26","9,865.26","316.42K","-1.18%"
"07-09-2014","9,983.08","9,983.08","9,983.08","9,983.08","311.33K","3.25%"
"31-08-2014","9,668.76","9,668.76","9,668.76","9,668.76","210.07K","3.98%"
"24-08-2014","9,298.90","9,298.90","9,298.90","9,298.90","270.71K","-0.45%"
"17-08-2014","9,340.87","9,340.87","9,340.87","9,340.87","208.71K","3.70%"
"10-08-2014","9,007.85","9,007.85","9,007.85","9,007.85","283.24K","0.51%"
"03-08-2014","8,962.18","8,962.18","8,962.18","8,962.18","232.84K","-1.67%"
"27-07-2014","9,114.33","9,114.33","9,114.33","9,114.33","304.12K","-0.70%"
"20-07-2014","9,178.21","9,178.21","9,178.21","9,178.21","330.76K","-0.81%"
"13-07-2014","9,252.80","9,252.80","9,252.80","9,252.80","467.14K","4.25%"
"06-07-2014","8,875.24","8,875.24","8,875.24","8,875.24","329.74K","-7.02%"
"29-06-2014","9,545.75","9,545.75","9,545.75","9,545.75","357.78K","3.70%"
"22-06-2014","9,205.17","9,205.17","9,205.17","9,205.17","413.96K","2.71%"
"15-06-2014","8,961.96","8,961.96","8,961.96","8,961.96","609.80K","0.29%"
"08-06-2014","8,935.93","8,935.93","8,935.93","8,935.93","534.08K","-1.79%"
"01-06-2014","9,098.54","9,098.54","9,098.54","9,098.54","529.01K","7.46%"
"25-05-2014","8,467.22","8,467.22","8,467.22","8,467.22","699.77K","-2.32%"
