"Date","Price","Open","High","Low","Vol.","Change %"
"15-11-2020","29,952.90","29,512.10","30,008.20","29,360.85","1.03B","2.19%"
"08-11-2020","29,310.05","28,596.15","29,340.45","28,342.55","1.25B","3.44%"
"01-11-2020","28,334.85","27,453.35","28,398.10","27,344.90","1.22B","3.61%"
"25-10-2020","27,348.45","27,529.20","27,648.85","26,952.70","989.26M","-0.31%"
"18-10-2020","27,432.55","27,298.90","27,632.00","27,100.20","946.16M","1.02%"
"11-10-2020","27,155.70","27,486.50","27,539.80","26,854.70","902.58M","-0.93%"
"04-10-2020","27,410.30","27,403.25","27,610.00","27,206.30","931.77M","0.58%"
"27-09-2020","27,250.95","26,660.05","27,306.30","26,632.45","720.94M","3.23%"
"20-09-2020","26,397.70","27,601.80","27,601.80","25,636.70","998.14M","-4.19%"
"13-09-2020","27,552.85","27,459.20","27,746.85","27,165.75","913.16M","0.97%"
"06-09-2020","27,288.50","27,206.55","27,332.75","26,465.50","756.19M","0.68%"
"30-08-2020","27,105.50","28,162.00","28,181.20","26,689.45","1.17B","-3.26%"
"23-08-2020","28,018.75","27,926.50","28,159.60","27,672.85","1.32B","0.89%"
"16-08-2020","27,772.45","27,469.70","28,024.65","27,061.75","1.19B","1.88%"
"09-08-2020","27,260.45","27,406.90","27,692.25","27,086.75","1.39B","0.48%"
"02-08-2020","27,130.45","26,852.10","27,193.85","26,674.45","1.13B","1.00%"
"26-07-2020","26,861.35","26,412.40","26,927.50","25,973.45","997.36M","1.98%"
"19-07-2020","26,340.55","26,505.15","26,747.50","26,224.40","937.87M","-0.13%"
"12-07-2020","26,375.80","26,351.70","26,410.70","25,614.15","940.93M","0.64%"
"05-07-2020","26,208.65","26,318.45","26,530.35","26,124.75","1.31B","0.24%"
"28-06-2020","26,146.25","25,932.75","26,177.10","25,631.80","1.08B","0.66%"
"21-06-2020","25,974.50","25,479.50","26,557.00","25,428.35","6.12B","2.96%"
"14-06-2020","25,227.00","25,053.30","25,288.90","24,543.75","5.41B","0.83%"
"07-06-2020","25,018.75","25,681.45","25,699.25","23,907.35","10.59B","-1.21%"
"31-05-2020","25,324.80","24,291.45","25,368.25","24,273.65","7.36B","5.23%"
"24-05-2020","24,065.00","23,111.95","24,152.30","22,855.35","4.54B","4.49%"
"17-05-2020","23,031.55","23,186.50","23,413.15","22,365.30","3.89B","-0.63%"
"10-05-2020","23,177.80","23,182.35","23,891.75","22,794.95","3.96B","0.95%"
"03-05-2020","22,959.50","23,432.00","23,556.30","22,527.25","2.72B","-4.74%"
"26-04-2020","24,102.75","23,170.75","24,164.30","23,158.55","2.48B","4.96%"
"19-04-2020","22,963.80","23,726.60","23,828.50","22,769.45","3.46B","-2.34%"
"12-04-2020","23,513.70","22,903.55","23,917.95","22,389.60","3.90B","2.69%"
"05-04-2020","22,898.85","21,068.50","23,044.30","20,841.10","1.45B","12.25%"
"29-03-2020","20,399.70","20,085.80","21,286.00","19,776.50","1.53B","-0.16%"
"22-03-2020","20,431.60","19,308.85","21,482.05","18,384.05","2.62B","-2.54%"
"15-03-2020","20,963.80","22,653.00","23,190.15","19,387.65","7.13B","-10.50%"
"08-03-2020","23,423.80","25,843.85","25,899.45","20,224.00","4.95B","-10.91%"
"01-03-2020","26,291.85","26,870.10","27,216.20","25,905.75","2.79B","-0.72%"
"23-02-2020","26,482.00","28,478.80","28,599.25","26,287.90","3.61B","-7.63%"
"16-02-2020","28,669.80","28,513.65","28,958.75","27,750.75","4.24B","0.59%"
"09-02-2020","28,501.05","29,066.95","29,129.15","28,453.50","3.04B","-1.88%"
"02-02-2020","29,046.45","28,283.10","29,088.25","27,193.85","2.16B","2.66%"
"26-01-2020","28,294.60","29,058.75","29,259.50","28,263.15","1.86B","-2.95%"
"19-01-2020","29,153.75","29,122.85","29,204.40","28,552.90","3.09B","0.41%"
"12-01-2020","29,034.85","28,669.35","29,101.55","28,631.25","2.31B","1.68%"
"05-01-2020","28,556.05","28,316.45","28,680.70","27,738.40","1.87B","0.27%"
"29-12-2019","28,478.95","28,528.95","28,612.95","28,270.25","1.21B","0.01%"
"22-12-2019","28,476.80","28,383.55","28,523.10","28,259.75","1.21B","0.25%"
