"Date","Price","Open","High","Low","Vol.","Change %"
"10-09-2023","15,222.70","15,431.50","15,599.05","14,836.15","","-0.77%"
"03-09-2023","15,341.05","14,880.40","15,351.15","14,810.15","","3.58%"
"27-08-2023","14,810.15","14,492.75","14,820.25","14,456.90","","2.56%"
"20-08-2023","14,440.65","14,227.90","14,633.05","14,205.95","","1.74%"
"13-08-2023","14,193.45","14,181.00","14,258.05","13,985.30","","0.02%"
"06-08-2023","14,190.30","14,120.25","14,297.10","14,080.95","","0.79%"
"30-07-2023","14,079.30","14,000.65","14,200.00","13,857.85","","0.74%"
"23-07-2023","13,976.00","13,805.85","13,985.05","13,746.50","","1.48%"
"16-07-2023","13,772.85","13,701.85","13,812.25","13,627.70","","0.84%"
"09-07-2023","13,657.45","13,530.30","13,669.05","13,410.45","","1.24%"
"02-07-2023","13,490.70","13,472.75","13,609.90","13,387.00","","0.67%"
"25-06-2023","13,401.45","13,082.20","13,411.95","13,033.05","","2.48%"
"18-06-2023","13,077.50","13,246.50","13,402.25","13,063.50","","-0.87%"
"11-06-2023","13,192.90","12,855.10","13,212.35","12,798.85","","2.95%"
"04-06-2023","12,814.80","12,762.05","12,949.60","12,689.25","","0.86%"
"28-05-2023","12,705.40","12,540.60","12,721.90","12,485.05","","1.75%"
"21-05-2023","12,486.85","12,190.55","12,495.60","12,157.00","","2.36%"
"14-05-2023","12,198.45","12,205.50","12,374.60","12,090.55","","0.02%"
"07-05-2023","12,196.10","12,108.00","12,271.55","12,100.00","","1.08%"
"30-04-2023","12,066.05","11,997.30","12,174.35","11,990.55","","1.03%"
"23-04-2023","11,943.55","11,723.70","11,950.80","11,676.20","","2.02%"
"16-04-2023","11,707.55","11,649.80","11,820.90","11,603.80","","0.31%"
"09-04-2023","11,671.20","11,529.75","11,703.45","11,479.00","","1.57%"
"02-04-2023","11,491.20","11,410.50","11,505.70","11,361.00","","1.22%"
"26-03-2023","11,352.25","11,172.70","11,386.30","11,016.50","","1.68%"
"19-03-2023","11,164.65","11,349.30","11,380.15","11,144.20","","-1.67%"
"12-03-2023","11,354.25","11,556.50","11,595.80","11,161.95","","-1.97%"
"05-03-2023","11,582.15","11,653.25","11,769.80","11,493.70","","-0.20%"
"26-02-2023","11,605.20","11,395.35","11,638.05","11,245.30","","1.77%"
"19-02-2023","11,403.35","11,635.20","11,654.65","11,346.65","","-1.74%"
"12-02-2023","11,605.65","11,726.00","11,736.75","11,494.60","","-1.13%"
"05-02-2023","11,738.30","11,505.75","11,761.90","11,493.35","","2.03%"
"29-01-2023","11,504.70","11,427.00","11,767.70","11,318.70","","0.57%"
"22-01-2023","11,439.60","11,767.35","11,807.25","11,314.15","","-2.63%"
"15-01-2023","11,748.95","11,858.35","11,895.00","11,721.20","","-0.69%"
"08-01-2023","11,830.40","11,934.50","11,966.50","11,765.90","","-0.17%"
"01-01-2023","11,850.60","11,923.30","12,030.00","11,807.80","","-0.30%"
"25-12-2022","11,885.75","11,385.10","11,945.90","11,291.45","","4.42%"
"18-12-2022","11,383.05","12,083.80","12,189.70","11,360.05","","-5.62%"
"11-12-2022","12,061.25","12,185.15","12,378.55","12,028.40","","-0.99%"
